origem,destino,tempo,Nós Expandidos,consumo de ram,distancia final,nos expandidos
1,2,0.0004508495330810547,4436.06980433633,0.0,803,2
2,3,0.6734824180603027,2392.0446277422393,0.0,51802,1611
